SD 7003_mod
1.0000000 0.0000000
0.9928262 0.0008769
0.9841984 0.0019272
0.9738177 0.0031841
0.9613226 0.0046866
0.9462753 0.0064798
0.9297192 0.0084307
0.9130999 0.0103640
0.8964210 0.0122774
0.8796864 0.0141685
0.8629003 0.0160349
0.8460668 0.0178744
0.8291904 0.0196847
0.8122757 0.0214636
0.7953275 0.0232091
0.7783508 0.0249189
0.7613508 0.0265911
0.7443327 0.0282236
0.7273022 0.0298144
0.7102650 0.0313617
0.6932269 0.0328636
0.6761939 0.0343182
0.6591725 0.0357237
0.6421690 0.0370785
0.6251899 0.0383809
0.6082423 0.0396291
0.5913329 0.0408216
0.5744690 0.0419568
0.5576579 0.0430333
0.5409072 0.0440495
0.5242245 0.0450040
0.5076179 0.0458955
0.4910952 0.0467227
0.4746649 0.0474842
0.4583352 0.0481789
0.4421150 0.0488055
0.4260129 0.0493628
0.4100380 0.0498499
0.3941993 0.0502656
0.3785064 0.0506089
0.3629686 0.0508789
0.3475958 0.0510746
0.3323978 0.0511952
0.3173847 0.0512398
0.3025667 0.0512078
0.2879543 0.0510982
0.2735581 0.0509105
0.2593890 0.0506439
0.2454578 0.0502980
0.2317759 0.0498721
0.2183545 0.0493657
0.2052051 0.0487784
0.1923395 0.0481097
0.1797696 0.0473594
0.1675075 0.0465269
0.1555654 0.0456122
0.1439558 0.0446149
0.1326913 0.0435348
0.1217847 0.0423718
0.1112489 0.0411259
0.1010973 0.0397968
0.0913430 0.0383848
0.0819997 0.0368897
0.0730811 0.0353116
0.0646011 0.0336508
0.0565737 0.0319073
0.0490133 0.0300814
0.0419342 0.0281734
0.0353511 0.0261835
0.0292788 0.0241121
0.0237323 0.0219597
0.0187268 0.0197266
0.0142777 0.0174133
0.0104004 0.0150205
0.0071106 0.0125486
0.0044244 0.0099984
0.0023578 0.0073704
0.0010919 0.0050567
0.0004012 0.0030857
0.0000833 0.0014137
0.0000000 0.0000000
0.0000879 -0.0007680
0.0004231 -0.0016748
0.0011503 -0.0027414
0.0024810 -0.0039902
0.0046493 -0.0054039
0.0074618 -0.0067706
0.0108992 -0.0080901
0.0149421 -0.0093621
0.0195719 -0.0105862
0.0247699 -0.0117624
0.0305179 -0.0128904
0.0367979 -0.0139700
0.0435923 -0.0150012
0.0508839 -0.0159839
0.0586556 -0.0169180
0.0668907 -0.0178035
0.0755729 -0.0186404
0.0846859 -0.0194289
0.0942142 -0.0201689
0.1041421 -0.0208607
0.1144546 -0.0215043
0.1251367 -0.0220999
0.1361740 -0.0226479
0.1475522 -0.0231484
0.1592574 -0.0236017
0.1712759 -0.0240081
0.1835945 -0.0243681
0.1962002 -0.0246820
0.2090802 -0.0249503
0.2222221 -0.0251733
0.2356139 -0.0253516
0.2492439 -0.0254858
0.2631005 -0.0255763
0.2771726 -0.0256238
0.2914493 -0.0256289
0.3059202 -0.0255923
0.3205749 -0.0255147
0.3354036 -0.0253968
0.3503966 -0.0252393
0.3655446 -0.0250431
0.3808387 -0.0248090
0.3962701 -0.0245379
0.4118305 -0.0242306
0.4275117 -0.0238882
0.4433061 -0.0235115
0.4592061 -0.0231016
0.4752046 -0.0226595
0.4912948 -0.0221862
0.5074701 -0.0216829
0.5237243 -0.0211508
0.5400514 -0.0205909
0.5564460 -0.0200045
0.5729025 -0.0193929
0.5894162 -0.0187572
0.6059822 -0.0180989
0.6225963 -0.0174192
0.6392542 -0.0167195
0.6559524 -0.0160012
0.6726872 -0.0152658
0.6894556 -0.0145147
0.7062547 -0.0137495
0.7230820 -0.0129717
0.7399353 -0.0121828
0.7568126 -0.0113845
0.7737123 -0.0105785
0.7906332 -0.0097663
0.8075743 -0.0089497
0.8245348 -0.0081305
0.8415144 -0.0073104
0.8585130 -0.0064912
0.8755309 -0.0056748
0.8925686 -0.0048631
0.9096270 -0.0040580
0.9267072 -0.0032614
0.9438107 -0.0024753
0.9594376 -0.0017690
0.9724770 -0.0011895
0.9833558 -0.0007135
0.9924308 -0.0003222
1.0000000 0.0000000
